x0,x1,y,x2,x3
A0,A0,0.02,0.0,0.0
A1,A1,0.03,0.0,0.02
A2,A2,0.32,0.07,0.0
A3,A3,0.35,0.0,0.0
A4,A4,0.1,0.0,0.0
A5,A5,0.0,0.0,0.02
A6,A6,0.58,0.46,0.34
A3,A7,1.44,1.37,0.73
A7,A7,4.41,1.04,1.39
A3,A8,0.0,0.0,0.27
A5,A9,0.0,0.0,0.13
A4,A10,0.2,0.15,0.0
A6,A11,0.1,0.07,0.0
A6,A3,0.13,0.1,0.0
A4,A12,0.0,0.0,0.03
A2,A13,0.23,0.18,0.0
A8,A14,0.0,0.0,0.14
A7,A15,0.01,0.0,0.0
A6,A16,0.42,0.32,0.01
A0,A17,0.02,0.02,0.0
A2,A18,0.01,0.0,0.0
A9,A19,0.05,0.04,0.0
A4,A20,0.24,0.0,0.0
A1,A21,0.0,0.0,0.03
A0,A6,0.08,0.03,0.0
A10,A22,0.0,0.0,0.09
A10,A15,0.0,0.0,0.21
A4,A14,2.08,1.35,0.0
A6,A23,0.74,0.38,0.02
A2,A24,0.05,0.11,0.0
A6,A25,0.03,0.04,0.0
A0,A16,2.08,1.09,0.15
A6,A26,0.22,0.06,0.0
A11,A27,0.1,0.08,0.0
A1,A28,0.0,0.0,0.04
A2,A13,0.01,0.11,0.0
A7,A14,0.0,0.0,0.21
A10,A24,0.14,0.01,0.0
A8,A15,0.05,0.04,0.0
A9,A29,0.02,0.0,0.0
A7,A30,0.0,0.0,0.32
A4,A31,0.0,0.0,0.04
A2,A32,0.49,0.03,0.03
A10,A27,0.79,0.94,0.0
A11,A27,0.12,0.23,0.07
A4,A3,0.12,0.0,0.0
A11,A7,0.0,0.0,0.02
A10,A27,0.23,0.73,0.02
A4,A33,0.25,0.07,0.0
A4,A34,0.0,0.0,0.02
A6,A26,1.59,0.8,0.0
A9,A27,0.97,0.34,0.0
A5,A27,0.22,0.25,0.04
A4,A35,0.4,0.15,0.0
A6,A32,1.05,0.57,0.03
A10,A27,0.29,0.19,0.0
A3,A7,0.46,0.17,0.48
A5,A6,0.06,0.04,0.0
A0,A25,0.26,0.29,0.02
A1,A3,0.61,0.16,0.0
A10,A27,0.29,0.08,0.0
A0,A33,0.08,0.02,0.0
A11,A36,0.0,0.01,0.0
A6,A37,0.12,0.09,0.0
A6,A32,0.14,0.14,0.02
A3,A38,0.0,0.02,0.0
A7,A24,0.77,0.29,0.0
A5,A5,0.0,0.0,0.01
A3,A39,0.0,0.0,0.02
A10,A40,0.02,0.0,0.0
A11,A36,0.01,0.0,0.0
A4,A41,0.09,0.01,0.0
A3,A27,0.01,0.05,0.0
A5,A42,0.0,0.0,0.02
A7,A14,0.04,0.03,0.0
A7,,0.0,0.0,0.03
A6,A44,0.0,0.0,0.05
A7,A45,0.0,0.0,4.594238181164676
A7,A46,0.07,0.01,0.0
A8,A47,0.0,0.02,0.0
A0,A15,0.0,0.0,0.31
A3,A15,0.26,0.14,0.0
A6,A14,0.0,0.0,0.02
A2,A48,0.04,0.11,0.0
A11,A49,0.04,0.01,0.0
A5,A3,0.06,0.0,0.0
A8,A14,0.0,0.0,0.02
A2,A3,0.03,0.02,0.0
A2,A27,0.73,0.97,0.01
A10,A27,0.05,0.02,0.0
A4,A50,0.09,0.01,0.0
A1,A14,0.15,0.13,0.09
A10,A51,0.54,0.04,0.0
A11,A17,0.14,0.11,0.0
A1,A34,0.09,0.02,0.0
A3,A52,0.05,0.04,0.0
A11,A24,0.58,0.03,0.0
A6,A53,0.0,0.07,0.0
A4,A17,0.0,0.03,0.0
A1,A54,0.0,0.0,0.15
A1,A55,0.1,0.08,0.06
A5,A16,0.0,0.0,0.41
A10,A56,0.06,0.04,0.0
A6,A14,0.0,0.0,0.12
A10,A25,0.23,0.18,0.0
A10,A27,0.42,0.12,0.0
A10,A41,0.21,0.0,0.0
A8,A32,0.0,0.02,0.0
A8,A16,0.0,0.0,0.38
A6,A37,0.15,0.3,0.0
A5,A33,0.34,0.01,0.0
A0,A24,1.03,0.06,0.0
A8,A36,0.0,0.04,0.0
A2,A16,0.13,0.1,0.0
A10,A27,0.09,0.0,0.0
A6,A51,0.02,0.02,0.0
A6,A57,2.41,2.28,0.28
A11,A58,0.07,0.08,0.0
A10,A13,0.0,0.12,0.0
A6,A59,0.03,0.01,0.0
A0,A33,0.11,0.03,0.0
A5,A24,0.14,0.3,0.0
A11,A60,0.11,0.04,0.0
A4,A58,0.0,0.0,0.02
A1,A16,0.19,0.13,0.31
A0,A26,0.29,0.13,0.0
A5,A61,0.0,0.0,0.03
A4,A62,0.0,0.0,0.06
A10,A63,0.0,0.0,0.03
A6,A7,0.39,0.09,0.17
A10,A15,0.0,0.0,0.27
A6,A37,0.07,0.01,0.0
A1,A14,0.0,0.0,0.16
A8,A27,0.0,0.04,0.0
A2,A64,0.11,0.07,0.0
A7,A6,0.06,0.05,0.0
A10,A27,0.2,0.06,0.0
A10,A16,0.56,0.38,0.0
A11,A51,0.24,0.12,0.0
A8,A56,0.0,0.0,0.09
A4,,3.06,1.12,0.0
A5,A31,0.0,0.0,0.05
A5,A61,0.0,0.0,0.04
A6,A37,0.69,0.52,0.0
A6,A37,0.35,0.3,0.0
A6,A24,0.02,0.01,0.0
A3,A65,0.0,0.0,0.02
A0,A25,0.19,0.1,0.0
A6,A25,0.05,0.06,0.0
A10,A66,0.0,0.0,0.45
A0,A25,0.02,0.0,0.0
A1,A55,0.12,0.0,0.01
A8,A67,0.03,0.01,0.0
A4,A68,0.0,0.0,0.02
A10,A34,0.0,0.0,0.32
A3,A27,0.59,0.31,0.0
A7,A35,0.23,0.07,0.0
A0,A25,0.27,0.07,0.0
A3,A15,0.08,0.06,0.0
A3,A69,0.06,0.0,0.0
A6,A16,0.2,0.13,0.0
A5,A70,0.0,0.0,0.01
A2,A71,0.17,0.69,0.02
A3,A20,0.01,0.0,0.0
A9,A72,0.07,0.06,0.0
A6,A73,0.01,0.0,0.0
A5,A74,0.0,0.01,0.0
A2,A75,0.03,0.02,0.0
A8,A76,0.01,0.0,0.0
A10,A44,0.29,0.23,0.0
A9,A3,0.28,0.0,0.0
A1,A58,0.13,0.06,0.05
A3,A20,0.03,0.0,0.0
A6,A77,0.55,0.84,0.11
A6,A37,0.04,0.04,0.0
A1,A54,0.62,0.42,0.69
A6,A37,0.1,0.11,0.0
A8,A15,0.05,0.03,0.12
A10,A27,0.84,4.32,0.11
A6,A78,0.01,0.01,0.0
A6,A25,0.03,0.03,0.0
A11,A25,0.07,0.05,0.0
A10,A27,0.14,0.05,0.0
A5,A16,0.03,0.02,0.0
A6,A79,0.08,0.36,0.0
A3,A15,0.0,0.0,0.06
A1,A6,0.0,0.0,0.07
A4,A25,0.33,0.21,0.0
A4,A0,0.04,0.0,0.0
A10,A27,0.65,0.03,0.0
A1,A56,0.0,0.0,0.04
A4,A4,0.22,0.0,0.0
A0,A33,0.13,0.03,0.0
A6,A14,0.0,0.0,0.08
A11,A27,0.13,0.37,0.0
A6,,0.0,0.0,0.35
A7,A33,1.2,0.25,0.02
A7,A6,0.0,0.0,0.05
A4,A80,0.52,0.36,0.0
A3,A3,0.34,0.31,0.0
A4,A81,0.0,0.0,0.1
A6,A15,0.11,0.06,0.01
A1,A61,0.0,0.0,0.02
A0,A34,0.19,0.05,0.0
A11,A6,0.29,0.34,0.2
A0,A25,4.21,0.24,0.0
A5,A82,1.52,0.82,0.0
A4,A15,0.0,0.0,0.07
A4,A83,0.03,0.0,0.0
A7,A14,0.0,0.0,0.11
A10,A7,0.41,0.1,0.47
A10,A15,0.0,0.0,0.19
A6,A15,0.14,0.14,0.27
A1,A16,0.33,0.16,0.36
A10,A15,0.03,0.01,0.0
A7,A24,0.5,0.02,0.0
A4,A32,0.04,0.01,0.0
A0,A34,0.0,0.0,0.09
A8,A56,0.0,0.0,0.02
A11,,0.26,0.36,0.04
A2,A7,5.55,1.94,2.23
A7,A14,0.0,0.0,0.08
A4,A24,0.33,0.01,0.0
A8,A85,0.0,0.0,0.03
A4,A25,0.12,0.04,0.0
A10,A15,0.13,0.1,0.0
A6,A56,0.0,0.0,0.26
A1,A86,0.0,0.0,0.13
A6,A87,0.68,0.12,0.0
A2,A27,0.26,0.2,0.0
A8,A88,0.02,0.02,0.0
A4,A14,0.0,0.0,0.19
A5,A33,0.15,0.22,0.0
A6,A89,0.2,0.0,0.0
A6,A90,0.59,0.03,0.0
A4,A91,0.06,0.04,0.0
A10,A54,0.0,0.0,0.07
A5,A92,0.0,0.0,0.03
A11,A41,0.06,0.04,0.08
A2,A93,0.0,0.03,0.0
A11,A13,0.07,0.03,0.0
A6,A84,0.15,0.16,0.0
A5,A3,0.06,0.04,0.0
A4,A0,0.06,0.0,0.0
A10,A25,0.04,0.0,0.0
A7,A6,0.12,0.08,0.28
A6,A27,0.14,0.04,0.0
A1,A94,0.44,0.16,0.0
A7,A28,0.06,0.02,0.0
A1,A27,0.31,0.09,0.0
A10,A95,0.02,0.01,0.0
A3,A3,0.11,0.0,0.0
A10,A27,0.22,0.0,0.0
A4,A6,0.1,0.03,0.0
A6,A96,0.0,0.03,0.0
A11,A16,0.32,0.01,0.0
A10,A27,3.63,0.24,0.01
A7,A14,0.0,0.0,0.42
A4,A97,0.01,0.0,0.0
A6,A53,0.17,0.16,0.0
A10,A15,0.01,0.0,0.0
A6,A33,0.04,0.04,0.0
A4,A98,0.06,0.01,0.0
A5,A3,0.2,0.05,0.0
A1,A34,0.0,0.0,0.2
A11,A27,1.84,0.8,0.04
A5,A41,0.0,0.0,0.01
A4,A4,0.17,0.05,0.0
A6,A99,0.07,0.0,0.0
A10,A3,0.24,0.0,0.0
A11,A100,0.1,0.01,0.0
A6,A100,0.04,0.0,0.0
A5,,0.11,0.04,0.0
A5,A70,0.0,0.0,0.02
A2,A13,0.02,0.13,0.0
A6,A56,0.0,0.0,0.13
A0,A27,0.18,0.07,0.0
A0,A7,1.57,0.62,0.55
A10,A33,1.45,1.13,0.07
A2,A15,0.09,0.03,0.04
A4,A7,1.25,0.53,0.87
A0,A25,0.3,0.11,0.0
A2,A3,0.12,0.1,0.0
A6,A14,0.27,0.04,0.0
A6,A94,0.06,0.0,0.0
A10,A101,0.0,0.0,0.02
A6,A25,0.23,0.27,0.0
A10,A34,0.0,0.0,0.19
A10,A15,0.36,0.06,0.0
A2,A27,0.1,0.08,0.0
A5,A38,0.0,0.07,0.0
A1,A56,0.06,0.05,0.08
A2,A27,1.03,0.98,0.0
A2,A13,0.33,0.44,0.01
A2,A16,0.04,0.02,0.0
A1,A3,2.09,0.63,0.03
A3,A102,0.0,0.0,0.23
A7,A30,0.0,0.0,0.3
A3,A3,0.35,0.0,0.0
A1,A7,0.0,0.0,0.09
A1,A6,0.0,0.0,0.08
A8,A27,0.0,0.05,0.0
A11,A7,0.0,0.0,0.13
A9,A14,0.27,0.08,0.85
A0,A25,0.33,0.12,0.0
A4,A16,0.0,0.0,0.03
A3,A15,0.0,0.0,0.02
A6,A34,0.03,0.02,0.74
A3,A14,0.24,0.0,0.0
A10,A27,0.67,0.02,0.0
A6,A103,0.03,0.0,0.0
A7,A104,0.0,0.0,0.09
A6,A25,0.18,0.06,0.0
A4,A43,0.0,0.0,0.07
A11,A16,1.4,1.07,0.08
A10,A25,0.17,0.07,0.0
A5,A105,0.0,0.0,0.01
A10,A100,0.21,0.0,0.0
A10,,0.02,0.02,0.35
A1,A27,0.32,0.34,0.0
A4,A106,0.0,0.0,0.04
A4,A16,0.0,0.05,0.0
A10,A27,0.21,0.13,0.0
A2,,2.99,1.92,0.1
A6,A58,0.0,0.07,0.0
A6,,0.14,0.1,0.0
A5,A7,0.6,0.22,0.0
A11,A89,0.04,0.0,0.0
A11,A7,0.08,0.03,0.12
A3,A33,0.35,0.0,0.0
A6,A107,0.14,0.04,0.0
A4,A10,0.08,0.02,0.0
A5,A24,0.07,0.06,0.0
A10,A10,0.28,0.22,0.0
